IDs,tsne dim 1,tsne dim 2,Clusters
DE-03-2043-H1,16.857162,8.105084,-1
GR-03-0377-H1,-3.4028285,18.184675,5
DE-02-4127-H1,-18.258162,-4.143948,-1
UK-01-0141-H1,1.5146858,-19.981195,0
DE-03-3510-H1,-21.199598,-8.303573,-1
DE-03-3193-H1,-8.744471,-5.2219677,10
IT-08-0098-H1,-6.55284,-8.488482,-1
NY-01-0869-H1,4.8215137,-21.331573,1
CZ-01-1869-H2,-3.4006507,18.187723,5
RU-01-0645-H1,-3.4025455,18.184883,5
GR-02-0223-H1,4.8215137,-21.331573,1
DE-01-0457-H1,3.26758,3.497232,7
IT-02-0185-H1,-20.49928,-5.183714,-1
NL-01-1215-H1,-3.4026344,18.184757,5
GR-02-0413-H1,-15.137844,-10.214778,11
DE-02-1980-H1,2.3424447,-17.197592,0
UK-01-0167-H1,4.8215137,-21.331573,1
US-01-0233-H1,1.5146858,-19.981195,0
NL-01-0487-H1,-8.652092,-6.42744,-1
CZ-01-0053-H1,-7.3520145,-5.4163294,10
FR-01-0563-H1,12.749298,17.122816,-1
NL-01-1295-H1,8.5593815,-2.7134833,-1
GR-01-0286-H1,-18.457314,2.876096,14
DE-03-0810-H1,-19.27739,-11.018699,12
DE-02-5051-H1,-3.7058048,17.653196,5
DE-03-1363-H1,-3.4028904,18.184496,5
FR-01-0903-H1,-6.545024,-5.469111,10
DE-03-2277-H1,-3.4024646,18.184887,5
DE-03-3728-H1,4.9926805,-23.450663,1
FR-01-1014-H1,-2.520474,-3.9652944,-1
DE-03-2037-H1,-3.4025495,18.184765,5
DE-02-1128-H1,-12.8279,-1.9234089,-1
GR-02-0514-H2,4.4690585,-2.3281808,7
UK-01-0027-H1,-14.991314,-6.039316,-1
DE-02-4316-H1,-3.3101761,-1.3312374,-1
NL-04-0117-H1,-3.4027493,18.184664,5
NY-01-1255-H1,-18.457561,2.876085,14
US-01-0110-H1,1.3475757,-20.68945,0
DE-02-0236-H1,-8.236971,-2.9292533,10
DE-03-0269-H1,-3.4025328,18.184883,5
GR-01-0601-H1,6.8960395,-7.250548,-1
US-01-0780-H1,-3.400148,18.188286,5
DE-03-2390-H1,-22.100975,-10.481298,-1
FR-01-1106-H1,-3.4014425,18.186617,5
NY-01-0895-H1,4.8215137,-21.331573,1
DE-02-4119-H1,-11.934989,-4.4729424,-1
CZ-01-0195-H1,-16.012463,4.869814,8
SE-01-0973-H1,-3.4020047,18.185888,5
NY-01-0758-H1,-3.7058103,17.653221,5
DE-03-4712-H1,-14.999949,-15.44688,16
UK-01-0279-H1,-11.431899,-13.769556,-1
DE-02-1624-H1,-3.4020581,18.185757,5
DK-01-1364-H1,-3.402828,18.184662,5
GR-01-0648-H1,-3.4028878,18.184587,5
DE-03-0367-H1,-11.759362,1.3603164,10
IT-02-0387-H1,-3.4028878,18.184587,5
DK-01-0365-H1,-3.4029343,18.184517,5
NY-01-1085-H1,-3.6185145,-10.451594,-1
ES-01-0583-H1,-20.026108,-11.745439,12
NL-01-1401-H1,-3.4029343,18.184517,5
ES-01-0032-H1,-3.4029343,18.184517,5
DE-03-2891-H1,-3.40264,18.184916,5
FR-01-1113-H1,-11.626255,-13.327923,-1
DE-02-1268-H1,-3.7058437,17.653261,5
HU-01-0248-H1,-19.251463,-10.902184,12
GR-01-0926-H1,4.8215137,-21.331573,1
NL-01-0681-H1,16.804323,8.052463,-1
DE-02-2010-H1,-3.4024138,18.185266,5
UK-03-0485-H1,16.768623,8.038668,-1
DE-02-3964-H1,-3.402935,18.184334,5
UK-01-0514-H1,-3.7058558,17.653149,5
NL-01-1374-H1,-3.7058444,17.653133,5
CZ-01-1499-H1,-3.40212,18.185587,5
UK-02-0077-H1,-3.3617985,-12.690637,-1
NL-01-1085-H1,3.2294757,3.8056262,7
NY-01-0093-H1,4.8215137,-21.331573,1
RU-01-0303-H1,-3.4025455,18.184883,5
US-01-0418-H1,2.5117097,5.254613,7
UK-02-0110-H1,2.3598728,-18.902521,0
DE-02-3940-H1,-3.4025152,18.184925,5
