IDs,tsne dim 1,tsne dim 2,Cluster
DE-03-2921-H1,8.185107,-14.583976,-1
UK-01-0076-H1,-0.96884304,-10.819717,-1
US-01-0058-H1,6.003143,-20.138184,26
NL-01-0518-H1,2.4792438,-21.52692,-1
DK-01-0236-H1,17.062502,7.575397,7
DE-02-4940-H1,17.062553,7.5754547,7
DK-01-0433-H1,17.062489,7.575396,7
DE-03-1833-H1,17.07328,7.5812554,7
GR-01-0943-H1,17.05883,7.574555,7
DE-02-0020-H1,17.338984,8.150308,7
DE-02-2033-H1,-0.3567956,-2.3050873,14
DE-03-4813-H1,17.338982,8.150327,7
NL-01-0723-H1,0.7833384,-9.775329,23
DE-02-0166-H1,17.338966,8.150322,7
GR-01-0359-H1,10.304171,-10.151206,-1
DK-01-0084-H1,1.6505829,-11.233029,23
AT-01-0023-H1,4.8591566,-10.538946,23
NY-01-0992-H2,2.0666869,-4.412487,17
GR-02-0577-H1,2.4468143,-14.365576,18
DE-02-3729-H1,-1.2656313,-16.579361,19
DE-03-4833-H1,17.338943,8.150253,7
SR-01-0051-H1,2.4521148,-14.375586,18
IT-02-0269-H1,17.062557,7.5755153,7
DE-03-4042-H1,17.062796,7.5757914,7
DE-03-0797-H1,1.5152423,-11.334165,23
FR-01-0324-H1,-18.939629,-8.653118,5
NL-04-0109-H1,9.404296,-15.407149,27
DE-03-4246-H1,4.5314612,-9.423587,23
FR-01-1169-H1,17.062494,7.5754023,7
RU-01-0463-H1,17.33898,8.150292,7
IT-06-0065-H1,-0.69089246,-17.924303,19
DE-02-1694-H1,1.6620238,-9.347416,23
FR-01-0122-H1,2.9583137,-12.066305,-1
CZ-01-1134-H1,-7.178783,-1.2860603,-1
DE-03-1065-H1,4.2908096,-23.796707,-1
DE-02-0502-H1,-1.1729295,-16.588915,19
IT-02-0689-H1,3.426578,5.3377705,-1
NL-01-0091-H1,17.338947,8.1502695,7
DE-02-3685-H2,17.062872,7.575939,7
CZ-01-0865-H1,-19.91091,-13.468449,4
DE-03-0773-H1,2.600366,-24.10669,24
SR-01-0016-H1,17.062595,7.575493,7
DK-01-0315-H1,1.5751141,-9.447102,23
NL-01-0024-H1,3.121368,-25.094217,-1
DE-02-1807-H1,1.0189285,4.3545732,-1
DE-03-3444-H1,-3.1935492,-20.583881,22
UK-01-0068-H1,3.6617446,4.873526,-1
DK-01-1295-H1,6.7270474,-15.673143,-1
DE-02-2784-H1,6.8618155,-0.24047972,-1
DK-01-1309-H1,17.062622,7.5754666,7
IT-01-0308-H1,17.338942,8.150247,7
DE-03-4278-H1,4.2108974,-22.552761,-1
DE-01-0374-H1,-2.5094006,-20.316961,22
IT-07-0081-H1,-19.805431,-7.808758,5
SE-01-0192-H1,12.414978,-14.203999,28
